,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2639,Good,Germany,Female,40,3,109308.79,2,True,False,120158.72,True
2640,Fair,Spain,Female,31,8,0.0,2,True,False,151843.54,False
2641,Poor,Germany,Female,28,6,164365.44,1,False,True,5698.97,False
2642,Fair,Spain,Female,22,5,98800.0,1,True,False,122865.55,False
2643,Fair,France,Male,27,4,193125.85,1,True,True,152665.85,False
2644,Good,France,Male,27,5,51522.75,1,False,True,192131.77,False
2645,Good,France,Male,23,5,84284.48,2,True,True,62851.6,False
2646,Very_Poor,Spain,Female,39,5,0.0,2,True,False,140941.47,False
2647,Very_Poor,France,Male,51,9,119889.84,1,False,False,56767.67,True
2648,Good,France,Male,21,4,137910.45,1,True,True,177235.23,False
2649,Fair,France,Female,37,6,0.0,2,True,False,86242.18,False
2650,Poor,France,Male,33,5,100116.82,1,True,False,34215.58,False
2651,Excellent,Germany,Male,40,4,166082.15,2,False,True,44406.17,False
2652,Fair,France,Female,38,0,0.0,2,True,False,165196.65,False
2653,Good,Spain,Male,26,3,0.0,1,True,False,34542.41,False
2654,Poor,France,Male,44,3,148595.55,1,True,False,74838.64,True
2655,Excellent,Germany,Male,53,2,94078.97,2,True,False,36980.54,False
2656,Good,Spain,Female,34,5,0.0,2,False,True,111676.63,False
2657,Poor,France,Male,29,9,0.0,1,True,True,25858.68,False
2658,Good,Germany,Male,40,2,164948.98,3,False,False,177028.0,True
2659,Good,France,Female,62,4,140549.4,1,True,False,30990.16,True
2660,Good,France,Female,44,2,152509.25,1,True,True,136915.15,False
2661,Good,France,Female,28,2,191864.51,1,True,False,108457.99,True
2662,Good,France,Female,44,8,96418.09,1,False,False,131609.48,True
2663,Poor,Spain,Male,32,2,131945.94,1,False,True,159737.56,False
2664,Poor,France,Male,29,3,0.0,2,True,True,142238.54,False
2665,Fair,Germany,Male,30,9,142910.15,1,True,False,105890.55,True
2666,Good,France,Female,37,7,0.0,2,True,True,194270.91,False
2667,Poor,France,Male,35,3,146311.58,1,True,True,105443.47,False
2668,Poor,France,Male,52,2,87894.26,1,True,False,173899.42,True
2669,Fair,France,Female,19,5,97445.49,2,True,False,122823.34,False
2670,Poor,France,Female,64,9,0.0,1,False,True,13181.37,True
2671,Excellent,Spain,Male,35,7,0.0,2,False,True,140780.8,False
2672,Good,France,Male,34,2,154485.74,2,False,False,78560.64,False
2673,Fair,France,Male,50,2,115625.07,1,True,False,185855.21,False
2674,Excellent,France,Male,25,7,108396.67,1,True,False,128276.95,False
2675,Good,Germany,Male,38,5,65095.41,2,True,True,140197.42,False
2676,Good,Germany,Male,43,1,103018.45,1,True,False,32462.39,True
2677,Poor,France,Female,38,10,84764.79,1,True,True,162253.9,False
2678,Excellent,France,Female,38,10,0.0,2,True,False,30498.7,False
2679,Poor,Spain,Female,35,4,115680.81,1,True,True,90280.7,False
2680,Fair,France,Female,39,5,0.0,2,True,False,32615.21,False
2681,Good,Germany,Male,36,5,73088.06,2,False,False,196142.26,False
2682,Fair,Germany,Female,27,3,150905.03,2,True,False,16998.72,False
2683,Excellent,Spain,Female,23,9,143054.85,1,False,True,62980.96,False
2684,Poor,Spain,Female,28,7,0.0,2,False,False,185660.3,False
2685,Good,France,Male,60,6,0.0,2,True,True,77331.77,False
2686,Poor,Germany,Female,42,0,99948.45,1,False,True,97338.62,False
2687,Poor,France,Male,44,3,115451.05,2,False,False,67234.33,False
2688,Poor,Germany,Male,32,4,108235.91,1,True,True,143783.28,False
2689,Very_Poor,France,Male,38,8,0.0,1,False,True,77661.12,True
2690,Fair,Spain,Male,42,2,98795.61,2,True,False,89123.99,False
2691,Good,France,Female,37,1,0.0,2,True,False,70810.8,False
2692,Good,France,Male,31,8,0.0,2,False,False,17550.49,False
2693,Good,France,Male,34,2,0.0,2,False,True,21497.27,False
2694,Fair,Germany,Male,29,3,113146.98,2,False,True,124749.08,False
2695,Poor,Germany,Female,39,8,162532.14,3,True,False,36051.46,True
2696,Good,Spain,Female,40,0,92053.44,1,True,True,143681.83,False
2697,Good,France,Male,48,7,0.0,2,True,True,150694.58,False
2698,Poor,France,Female,28,5,0.0,3,True,False,170487.4,True
2699,Fair,Germany,Female,29,8,104944.1,1,True,True,97684.46,False
2700,Poor,France,Male,31,4,0.0,2,True,False,53520.03,False
2701,Fair,France,Female,31,2,0.0,2,True,False,15200.61,False
2702,Fair,France,Female,30,4,107879.04,1,False,True,196894.62,False
2703,Very_Poor,Germany,Male,46,7,110356.42,1,True,False,4969.13,True
2704,Good,France,Male,27,2,0.0,2,False,False,26229.24,False
2705,Fair,Spain,Female,34,4,109783.69,2,True,False,134034.32,False
2706,Good,France,Male,22,9,149777.0,1,True,True,198032.93,False
2707,Fair,France,Female,38,3,104339.56,1,False,False,119882.86,False
2708,Fair,Spain,Female,21,1,85818.18,1,True,True,133102.3,False
2709,Poor,France,Male,37,4,212692.97,1,False,False,176395.02,False
2710,Fair,Germany,Male,37,1,89696.84,2,True,True,193179.88,False
2711,Fair,France,Female,28,9,0.0,2,True,True,125062.02,False
2712,Poor,Germany,Female,32,9,68067.24,1,True,False,143287.58,False
2713,Good,Spain,Male,67,9,148564.66,1,False,True,87236.4,False
2714,Good,France,Female,55,8,136354.16,1,True,True,93769.89,False
2715,Fair,France,Male,38,1,122214.0,1,False,True,88965.46,False
2716,Good,France,Male,45,3,0.0,2,True,True,30793.61,False
2717,Good,Germany,Male,70,6,119684.88,2,True,True,74532.02,False
2718,Excellent,France,Female,39,3,135139.33,1,False,True,113086.08,False
2719,Poor,Germany,Female,42,9,146100.75,1,True,False,32574.01,True
2720,Good,Spain,Female,56,8,123110.9,3,False,True,130113.78,True
2721,Poor,Germany,Female,44,3,111760.4,3,True,True,104722.47,True
2722,Poor,France,Female,32,9,110728.39,1,True,True,14559.62,False
2723,Fair,France,Female,41,8,121558.46,1,True,True,598.8,False
2724,Very_Poor,Germany,Female,38,8,120623.21,1,True,False,129697.99,False
2725,Very_Poor,France,Female,58,4,114713.57,1,True,True,36315.03,False
2726,Excellent,Germany,Female,37,3,103457.76,1,False,False,1114.12,False
2727,Good,Germany,Male,57,2,101134.87,2,True,True,70954.41,False
2728,Good,Germany,Male,46,10,78136.36,2,True,True,73470.98,False
2729,Good,France,Male,23,1,0.0,2,True,False,91573.19,False
2730,Good,Spain,Male,30,3,133446.34,1,False,False,3154.95,False
2731,Good,France,Female,33,7,0.0,2,True,True,88187.81,False
2732,Fair,Germany,Female,48,1,108076.33,1,True,False,118855.26,True
2733,Poor,France,Male,32,5,131354.25,1,True,False,125256.53,False
2734,Fair,Germany,Female,37,7,62974.64,2,False,True,39016.43,False
2735,Poor,Germany,Female,30,2,143340.44,1,True,False,145796.49,False
2736,Good,Germany,Male,36,8,116993.43,2,True,False,168816.22,False
2737,Very_Poor,France,Male,31,4,58662.92,2,False,True,73322.0,False
2738,Fair,Spain,Male,41,3,128808.65,3,False,False,113677.53,True
2739,Fair,France,Male,45,7,137555.44,1,False,False,124607.7,False
2740,Fair,Germany,Male,34,4,142393.11,1,True,True,11276.48,False
2741,Poor,France,Female,38,8,0.0,2,True,False,136620.64,False
2742,Fair,France,Female,41,2,125785.23,1,True,True,70523.92,False
2743,Good,France,Male,22,4,136444.25,1,True,False,51980.25,True
2744,Good,Spain,Male,38,7,121527.4,1,True,False,113481.02,False
2745,Fair,Germany,Male,52,9,144696.75,1,True,True,49025.79,False
2746,Fair,France,Male,36,8,0.0,2,True,True,145937.99,False
2747,Poor,France,Female,35,10,0.0,2,True,True,25161.61,False
2748,Very_Poor,Germany,Male,48,8,128140.17,1,True,False,175753.55,True
2749,Poor,France,Male,25,6,120383.41,1,True,True,24903.09,False
2750,Very_Poor,France,Female,57,9,0.0,3,True,True,169719.35,True
2751,Good,France,Male,42,8,129735.3,2,True,True,179565.57,False
2752,Good,Spain,Female,31,8,185078.26,1,False,False,115337.74,True
2753,Very_Poor,France,Female,28,6,0.0,2,False,False,48131.92,False
2754,Good,France,Male,42,0,0.0,1,True,True,160828.98,False
2755,Good,Spain,Male,31,7,0.0,2,False,True,145151.96,False
2756,Very_Poor,France,Male,29,1,144591.96,1,True,True,196293.76,False
2757,Very_Poor,France,Female,45,4,0.0,2,True,False,161653.5,True
2758,Fair,France,Male,36,6,0.0,2,False,False,84635.64,False
2759,Good,France,Male,37,7,0.0,1,True,False,159486.76,False
2760,Poor,Germany,Male,68,2,100194.44,1,True,True,38596.34,False
2761,Fair,Germany,Male,50,6,145295.31,2,True,True,27814.74,False
2762,Good,Germany,Male,28,3,106070.29,2,True,True,183893.31,False
2763,Good,Germany,Female,47,6,120621.89,1,True,True,140803.7,False
2764,Fair,France,Male,38,7,0.0,2,False,True,146585.53,False
2765,Good,France,Male,36,9,0.0,2,True,True,40062.29,False
2766,Good,France,Male,30,1,0.0,1,True,True,181300.32,False
2767,Poor,Germany,Female,27,10,171283.91,1,True,True,84136.12,False
2768,Good,France,Male,26,4,0.0,2,True,True,197594.34,False
2769,Poor,Germany,Female,38,1,128218.47,1,True,False,125953.83,True
2770,Good,France,Female,32,5,0.0,2,True,True,75465.41,False
2771,Good,Germany,Male,28,7,77776.39,1,True,False,177737.07,False
2772,Poor,Germany,Female,72,6,124978.19,2,True,True,7144.46,False
2773,Poor,France,Male,29,1,0.0,2,False,False,155639.76,False
2774,Poor,France,Female,28,1,0.0,1,True,True,162428.05,False
2775,Excellent,Spain,Male,51,3,109799.55,2,True,True,12457.76,True
2776,Good,France,Male,39,7,0.0,2,False,False,14917.09,False
2777,Good,Germany,Female,61,8,125397.21,1,True,False,182184.09,True
2778,Fair,Spain,Female,71,10,0.0,2,True,True,129984.2,False
2779,Good,Germany,Male,38,9,111347.37,2,False,True,194872.97,False
2780,Good,Spain,Male,40,8,104291.41,2,True,True,117507.11,False
2781,Good,Germany,Female,61,9,94867.18,2,True,True,157527.6,True
2782,Fair,France,Male,24,8,0.0,2,False,False,92612.88,False
2783,Poor,France,Female,33,6,135703.59,2,False,False,74850.84,False
2784,Excellent,Germany,Female,37,5,106453.53,2,False,True,127413.0,False
2785,Fair,France,Male,43,7,132412.38,1,False,False,69584.3,True
2786,Poor,Germany,Female,40,9,124401.6,1,True,False,198814.24,True
2787,Excellent,France,Male,46,6,118022.06,3,True,False,162643.15,True
2788,Poor,Germany,Male,39,1,82531.11,1,True,False,114092.52,False
2789,Good,Spain,Male,44,0,184552.12,1,True,False,68860.3,True
2790,Poor,Germany,Male,39,4,127278.31,1,True,True,16150.34,False
2791,Poor,Spain,Female,66,3,0.0,1,True,True,115227.02,False
2792,Poor,France,Female,45,2,0.0,2,False,True,170621.55,False
2793,Fair,Germany,Male,23,5,184244.86,1,True,False,103099.22,False
2794,Fair,France,Male,52,8,59669.43,1,False,False,172495.81,True
2795,Poor,France,Female,25,7,79543.59,1,False,True,38772.82,False
2796,Good,France,Female,39,6,151553.19,1,True,True,44946.29,False
2797,Fair,Germany,Male,27,2,166527.88,2,False,True,146007.7,False
2798,Poor,Germany,Male,28,6,150329.15,1,True,False,145558.42,False
2799,Good,France,Male,43,8,121911.59,1,True,False,193312.33,False
2800,Good,France,Male,51,9,156773.78,2,True,False,40257.79,False
2801,Very_Poor,Spain,Male,29,8,127864.26,1,True,True,46677.9,False
2802,Good,France,Male,53,4,113709.28,1,True,True,153887.93,True
2803,Good,Germany,Female,43,7,79974.55,1,True,True,103108.33,False
2804,Fair,France,Female,44,2,0.0,2,True,True,58652.23,False
2805,Good,France,Female,51,5,0.0,1,True,False,91624.11,True
2806,Poor,Spain,Male,38,0,0.0,1,True,False,65986.48,True
2807,Good,France,Male,33,3,144427.96,2,True,False,113845.19,False
2808,Fair,France,Male,42,7,99263.09,1,True,True,67607.9,False
2809,Fair,France,Female,32,2,79368.87,2,True,True,145471.94,False
2810,Poor,France,Female,30,10,0.0,2,True,True,124071.71,False
2811,Good,Spain,Female,34,9,0.0,2,True,True,67502.12,False
2812,Poor,France,Male,28,2,0.0,3,True,True,78707.97,False
2813,Good,France,Female,52,7,125095.94,1,True,False,171189.83,True
2814,Good,Germany,Female,40,2,162485.8,2,True,False,149381.32,False
2815,Good,Germany,Male,37,1,95668.82,2,True,False,100335.55,False
2816,Good,France,Male,25,4,0.0,2,True,False,152698.24,False
2817,Poor,Spain,Female,30,8,0.0,2,True,True,41192.95,False
2818,Good,France,Male,37,4,0.0,1,True,False,132540.33,False
2819,Good,France,Female,34,5,74197.38,2,True,False,96875.52,False
2820,Fair,France,Female,31,1,89688.94,1,True,True,152305.47,False
2821,Good,Spain,Female,33,10,103121.33,2,True,True,49672.01,False
2822,Poor,Spain,Female,34,3,0.0,1,True,False,133997.53,False
2823,Good,Germany,Female,59,5,120170.07,1,False,True,50454.8,False
2824,Fair,France,Male,32,9,149136.31,2,True,True,16402.11,False
2825,Poor,France,Male,40,1,141136.79,1,True,True,67803.83,False
2826,Good,France,Female,43,4,152341.55,1,True,False,9241.78,False
2827,Good,France,Male,36,7,120026.98,2,False,True,100601.73,False
2828,Poor,Spain,Male,33,9,132168.28,1,False,False,98734.15,False
2829,Poor,Germany,Male,43,6,85200.82,2,True,True,160574.09,False
2830,Poor,Spain,Male,53,1,84903.33,2,False,True,26015.8,False
2831,Fair,France,Female,32,0,0.0,2,False,False,187172.54,False
2832,Poor,France,Male,20,4,0.0,1,True,True,55763.66,False
2833,Good,Spain,Male,40,8,0.0,1,True,False,75848.22,False
2834,Excellent,France,Male,30,9,121535.18,1,False,False,40313.47,False
2835,Fair,Spain,Male,35,6,116662.96,2,True,True,23864.21,False
2836,Good,France,Male,60,8,0.0,2,True,True,51380.9,False
2837,Poor,Germany,Female,49,6,124829.16,1,False,True,93551.36,False
2838,Excellent,Spain,Female,36,2,155180.56,2,False,False,169415.54,False
2839,Poor,Germany,Female,32,1,108262.87,1,True,True,6935.31,False
2840,Poor,Spain,Male,40,4,0.0,2,True,False,25399.7,False
2841,Excellent,France,Male,38,5,0.0,2,True,False,66256.27,False
2842,Poor,Spain,Male,48,2,0.0,1,True,True,114709.13,True
2843,Good,Germany,Male,38,6,99812.88,2,True,True,158357.97,False
2844,Fair,France,Male,35,2,132164.26,1,False,True,164815.59,False
2845,Poor,Germany,Male,45,10,103583.05,1,True,False,132127.69,True
2846,Poor,Germany,Male,39,4,142406.43,2,True,False,146637.45,False
2847,Poor,Spain,Male,38,7,99842.5,2,True,False,90256.06,True
2848,Excellent,France,Female,41,5,0.0,2,True,True,34827.43,False
2849,Very_Poor,France,Male,41,9,0.0,1,False,False,22074.48,False
2850,Good,France,Female,39,5,81042.42,1,False,True,109805.17,False
2851,Fair,France,Female,48,5,0.0,1,True,False,100478.6,True
2852,Fair,France,Male,40,6,0.0,2,True,True,97416.34,False
2853,Very_Poor,France,Male,53,4,199689.49,1,True,True,24207.86,True
2854,Good,France,Male,33,1,142645.43,1,False,False,69132.66,False
2855,Good,Spain,Female,75,5,0.0,2,True,True,9376.89,False
2856,Very_Poor,Germany,Female,45,3,110219.14,1,True,False,43046.7,True
2857,Poor,Spain,Male,51,3,0.0,2,False,True,20856.31,False
2858,Fair,France,Male,25,3,0.0,2,False,False,187048.72,False
2859,Poor,Spain,Male,32,4,0.0,2,True,False,53420.53,False
2860,Good,France,Male,45,7,142072.02,1,True,False,37013.29,False
2861,Poor,France,Female,25,6,0.0,2,True,False,89566.64,False
2862,Fair,Germany,Male,33,8,149564.61,1,False,False,149913.84,False
2863,Good,France,Female,43,9,0.0,2,True,False,18066.69,False
2864,Good,Germany,Male,37,8,153366.13,1,True,True,26912.34,False
2865,Good,France,Male,21,6,76467.16,1,True,True,173511.72,False
2866,Good,France,Female,26,9,121508.28,1,True,True,146785.44,False
2867,Poor,Spain,Female,27,1,0.0,1,False,True,1050.33,False
2868,Poor,Spain,Male,36,8,73211.12,2,True,False,89587.34,True
2869,Poor,France,Male,22,9,0.0,2,True,False,74405.34,False
2870,Good,France,Female,55,1,0.0,2,False,True,54409.48,False
2871,Good,Spain,Male,38,0,92674.94,2,True,False,3647.57,False
2872,Very_Poor,Spain,Male,52,3,96196.24,4,True,False,198874.52,True
2873,Good,Germany,Female,36,1,114391.62,1,True,True,53412.54,False
2874,Excellent,Germany,Male,32,9,80262.66,1,True,False,194867.78,False
2875,Poor,Spain,Female,33,7,173331.52,1,True,False,150452.88,False
2876,Fair,Spain,Female,35,7,147285.52,1,True,True,57807.05,False
2877,Fair,Spain,Male,67,5,119785.47,2,True,True,107534.32,False
2878,Very_Poor,Spain,Female,36,1,140137.15,1,True,False,194073.33,False
2879,Good,Germany,Female,52,6,107467.56,1,True,False,126233.18,True
2880,Good,Germany,Female,37,8,98218.04,2,True,False,182354.46,True
2881,Good,Germany,Female,35,2,133607.75,1,True,True,120586.32,False
2882,Poor,France,Male,37,3,0.0,2,True,True,50578.4,False
2883,Poor,France,Female,38,8,95139.41,1,True,True,86575.46,False
2884,Fair,France,Female,29,3,0.0,2,False,True,153392.28,False
2885,Fair,Spain,Male,42,5,0.0,2,True,False,115509.59,False
2886,Very_Poor,France,Female,37,6,0.0,2,True,False,82176.48,False
2887,Good,Germany,Female,26,1,97331.19,1,True,False,63717.49,False
2888,Excellent,Germany,Male,37,2,139265.63,2,True,True,198745.94,False
2889,Poor,France,Female,31,9,0.0,1,False,True,5719.11,False
2890,Poor,Spain,Male,34,5,168094.01,1,False,False,20058.61,False
2891,Fair,Germany,Female,30,5,131563.88,2,True,False,170638.98,False
2892,Fair,France,Male,44,3,0.0,2,True,False,30607.11,False
2893,Fair,France,Male,50,9,0.0,2,False,False,37171.46,False
2894,Poor,France,Male,31,3,0.0,1,True,True,42589.33,False
2895,Fair,Germany,Male,47,7,107363.29,1,True,True,66799.28,False
2896,Excellent,France,Female,33,2,94493.03,1,False,True,101866.39,False
2897,Poor,Germany,Female,29,9,170214.23,2,True,False,49284.0,False
2898,Good,France,Male,52,6,139781.06,1,True,False,27445.4,True
2899,Poor,France,Female,35,7,0.0,2,True,False,70760.69,False
2900,Fair,Spain,Female,26,8,148610.41,3,False,True,104502.02,True
2901,Very_Poor,France,Male,73,2,170241.7,2,True,True,165407.96,False
2902,Good,France,Female,33,1,128306.83,1,True,True,113580.79,False
2903,Poor,France,Female,47,7,0.0,2,True,True,45978.39,False
2904,Good,France,Female,35,3,0.0,1,True,True,152012.36,False
2905,Good,Germany,Male,32,7,175454.0,1,False,True,77349.92,False
2906,Excellent,Spain,Male,41,6,0.0,2,True,False,47322.05,False
2907,Poor,France,Female,22,0,100885.93,2,True,True,38772.65,False
2908,Very_Poor,France,Male,69,9,93320.8,1,True,True,24489.44,False
2909,Poor,Germany,Male,38,6,63176.44,2,True,True,14466.08,False
2910,Poor,France,Male,33,2,139451.67,1,False,False,63142.12,False
2911,Fair,France,Female,52,8,49113.75,1,True,False,41858.43,False
2912,Good,Germany,Male,32,1,123906.22,3,True,True,127443.82,True
2913,Excellent,France,Female,40,6,0.0,2,True,True,84151.98,False
2914,Fair,France,Male,28,7,0.0,2,False,False,58595.64,False
2915,Very_Poor,Germany,Female,52,1,131441.51,1,True,False,37240.11,True
2916,Fair,France,Male,56,2,0.0,1,True,False,114522.68,True
2917,Good,France,Male,57,6,136325.48,2,True,True,72549.27,True
2918,Poor,Germany,Female,38,4,113150.44,2,True,False,176712.59,True
2919,Poor,Spain,Female,42,9,0.0,1,False,False,152855.96,False
2920,Good,France,Female,33,4,0.0,2,True,True,73371.65,False
2921,Poor,Germany,Female,46,8,102785.16,1,True,True,70323.68,False
2922,Good,Spain,Male,34,6,83264.28,1,False,False,9663.28,False
2923,Good,Germany,Male,41,4,72252.64,2,True,True,142514.66,False
2924,Very_Poor,Germany,Female,29,6,148051.52,1,True,False,118623.94,False
2925,Good,France,Female,76,9,138489.66,1,True,True,68400.14,False
2926,Poor,France,Male,63,8,0.0,2,True,True,115291.86,False
2927,Fair,France,Male,32,6,111589.33,1,True,True,170382.99,False
2928,Good,Germany,Female,39,0,122104.79,1,True,False,112946.67,True
2929,Good,Germany,Male,32,4,96106.83,1,True,True,79812.77,False
2930,Good,Germany,Male,42,7,115930.87,1,True,False,19862.78,False
2931,Fair,Germany,Female,37,7,124513.66,2,True,False,158610.89,False
2932,Good,France,Female,54,9,0.0,1,True,False,191212.63,True
2933,Poor,Spain,Male,46,8,0.0,1,True,False,61931.21,False
2934,Fair,France,Male,33,7,0.0,1,True,True,58043.02,True
2935,Good,Spain,Male,35,8,100988.39,2,True,False,22247.27,False
2936,Poor,France,Male,44,10,118577.24,1,True,True,31448.52,False
2937,Good,Spain,Male,28,6,0.0,2,True,False,146875.86,False
2938,Good,France,Male,27,5,0.0,2,True,True,116081.93,False
2939,Poor,France,Female,39,2,0.0,1,False,True,73669.94,True
2940,Good,Spain,Female,28,5,0.0,2,True,True,93959.96,False
2941,Poor,Spain,Female,26,9,0.0,2,False,True,158918.03,False
2942,Excellent,France,Female,42,9,113311.11,1,True,True,198193.75,False
2943,Good,France,Female,41,9,0.0,1,False,False,13160.03,False
2944,Poor,France,Male,32,7,0.0,2,True,False,4660.91,False
2945,Excellent,Germany,Male,20,4,124365.42,1,False,False,180197.74,True
2946,Poor,France,Male,42,1,147249.29,2,True,True,63023.02,False
2947,Good,France,Male,36,7,103688.19,1,False,True,118971.74,False
2948,Fair,France,Female,29,1,138740.24,2,False,False,154700.61,False
2949,Poor,Spain,Male,39,4,111900.14,1,True,True,97577.17,False
2950,Good,Spain,Female,37,0,152760.24,1,True,True,48990.5,False
2951,Good,Germany,Male,31,7,143966.3,2,True,True,140262.96,True
2952,Good,France,Male,51,10,141556.96,1,True,False,130189.53,False
2953,Fair,France,Female,43,6,0.0,2,True,True,16301.91,False
2954,Poor,France,Female,33,5,0.0,2,True,False,126962.41,False
2955,Poor,France,Female,46,1,0.0,1,True,True,158750.53,False
2956,Excellent,France,Male,30,8,0.0,2,True,False,199644.2,False
2957,Good,France,Female,41,10,0.0,1,True,True,144272.71,True
2958,Poor,France,Male,29,2,0.0,2,False,True,98320.27,False
2959,Poor,France,Male,25,9,162560.32,1,True,False,64129.03,False
2960,Good,Germany,Female,29,7,123229.46,1,True,False,181221.09,False
2961,Fair,Spain,Male,31,7,76665.71,2,True,True,163809.08,False
2962,Poor,France,Male,38,9,140278.99,3,True,True,171457.06,True
2963,Fair,France,Female,51,3,0.0,2,False,True,15801.02,False
2964,Good,France,Male,46,1,115764.32,2,False,False,102950.79,False
2965,Very_Poor,Germany,Male,36,5,131142.53,2,True,False,174918.46,False
2966,Poor,France,Male,45,5,68375.27,1,True,False,193160.25,True
2967,Poor,Germany,Female,39,5,117833.3,3,False,False,5831.0,True
2968,Good,Spain,Female,36,7,0.0,2,True,True,82298.59,False
2969,Good,France,Male,34,7,0.0,2,False,False,130686.59,False
2970,Excellent,France,Male,45,7,0.0,1,False,True,52885.23,True
2971,Good,Spain,Male,30,2,111093.01,1,True,False,68985.99,False
2972,Fair,Spain,Male,42,9,132657.55,1,True,False,35367.19,False
2973,Poor,France,Female,56,9,128882.49,1,True,True,196241.94,True
2974,Poor,Germany,Male,59,9,69129.59,1,True,True,170705.53,False
2975,Very_Poor,France,Male,37,6,0.0,2,True,True,126477.41,False
2976,Good,France,Male,39,4,121404.64,1,True,True,159618.17,False
2977,Poor,Spain,Female,45,9,131355.3,3,True,False,195395.33,True
2978,Poor,France,Female,35,1,102097.33,1,False,True,168285.85,False
2979,Fair,France,Male,40,1,154863.15,1,True,True,138052.51,False
2980,Excellent,Spain,Female,41,3,99945.93,2,True,False,71179.31,False
2981,Fair,Germany,Male,39,2,121704.32,2,True,False,55556.3,False
2982,Poor,Spain,Female,43,3,0.0,2,True,False,31705.19,False
2983,Poor,Germany,Male,35,8,138782.76,1,True,True,186118.93,False
2984,Good,France,Male,35,9,0.0,2,True,True,195580.28,False
2985,Excellent,France,Male,30,8,136291.71,1,True,False,54113.38,False
2986,Poor,Germany,Male,42,0,107856.57,2,True,False,127528.84,False
2987,Good,Germany,Female,26,1,108348.66,1,False,False,60231.74,True
2988,Good,France,Male,47,1,93871.95,3,True,False,156878.42,True
2989,Good,Spain,Female,45,1,0.0,1,True,False,182784.11,True
2990,Very_Poor,Germany,Male,19,2,125860.2,1,False,False,129690.5,False
2991,Poor,France,Male,49,8,172713.44,1,True,False,113860.81,False
2992,Excellent,France,Female,51,5,0.0,2,False,True,184524.74,False
2993,Good,Spain,Female,59,8,0.0,1,True,True,36124.98,False
2994,Fair,France,Female,39,3,130786.92,1,False,True,121316.07,False
2995,Poor,France,Female,29,2,112367.34,1,True,False,185630.76,False
2996,Good,Spain,Female,45,7,91091.06,2,True,False,71133.12,False
2997,Fair,France,Female,26,7,106198.5,1,False,True,32020.42,False
2998,Good,France,Male,47,5,142669.93,2,True,False,162760.96,False
2999,Poor,France,Male,33,1,112833.35,1,False,True,175178.56,False
3000,Poor,France,Female,40,5,0.0,2,False,True,177099.71,False
3001,Good,Spain,Female,43,4,0.0,2,True,True,66406.37,False
3002,Excellent,Germany,Female,32,2,104336.43,2,False,False,59559.81,False
3003,Poor,France,Male,55,6,104305.74,1,False,True,175750.21,False
3004,Poor,Germany,Male,47,5,140187.1,2,True,True,174311.3,False
3005,Good,France,Male,39,4,0.0,2,True,False,171716.81,False
3006,Good,France,Female,45,1,114959.12,1,True,False,189362.39,True
3007,Fair,France,Male,33,5,164704.38,1,False,True,180716.1,True
3008,Good,France,Male,62,10,119096.55,1,False,True,116977.89,False
3009,Poor,France,Male,31,1,0.0,2,True,True,185105.44,False
3010,Good,France,Male,47,2,0.0,1,True,False,35046.97,True
3011,Poor,Spain,Male,30,8,0.0,1,True,False,36251.0,False
3012,Excellent,France,Female,41,9,115465.28,1,True,False,103174.5,False
3013,Very_Poor,France,Female,27,4,0.0,2,True,False,122642.09,False
3014,Fair,Spain,Male,43,3,184926.61,1,True,False,122937.57,False
3015,Good,Germany,Male,43,8,85957.88,2,True,False,8757.39,False
3016,Excellent,France,Male,32,10,114084.6,1,False,True,125782.29,False
3017,Poor,Spain,Female,29,2,166930.76,2,True,False,122487.73,False
3018,Poor,France,Female,27,8,0.0,1,True,False,20066.38,False
3019,Poor,France,Male,29,7,0.0,2,True,True,55473.15,False
3020,Poor,France,Female,38,6,107193.82,2,False,False,38962.94,False
3021,Good,France,Male,36,3,116275.12,1,True,True,63795.8,False
3022,Fair,Spain,Female,27,7,0.0,2,True,True,163060.43,False
3023,Fair,France,Male,39,2,91068.56,1,True,False,26578.69,False
3024,Fair,Germany,Male,41,5,123049.21,1,False,True,5066.76,False
3025,Good,France,Female,39,6,0.0,2,True,True,140497.67,False
3026,Poor,France,Male,40,7,0.0,2,False,False,146156.98,False
3027,Good,France,Female,42,3,137781.65,1,False,False,199316.19,False
3028,Good,Germany,Female,48,2,108128.96,2,True,True,103944.37,False
3029,Fair,Spain,Male,39,10,105317.73,2,True,False,138021.36,False
3030,Good,France,Male,20,1,80569.73,1,False,False,68621.98,False
3031,Good,France,Female,22,4,174852.89,1,True,True,28149.06,False
3032,Very_Poor,Spain,Female,45,3,89158.94,3,True,False,135169.76,True
3033,Excellent,France,Female,85,10,0.0,2,True,True,116537.96,False
3034,Good,France,Male,36,2,89800.14,1,True,True,105922.69,False
3035,Excellent,Germany,Male,45,9,101207.75,1,False,False,88211.12,True
3036,Fair,France,Male,43,1,106086.42,2,True,False,26900.63,False
3037,Good,France,Male,21,1,0.0,2,True,True,3494.02,False
3038,Good,France,Male,47,9,0.0,2,True,False,113163.17,False
3039,Excellent,Spain,Female,26,8,101440.36,2,True,True,19324.5,False
3040,Good,France,Male,38,4,0.0,2,True,False,189678.7,False
3041,Good,France,Male,34,7,106603.74,2,True,True,26387.71,False
